22:06:07 | pseudo_online | INFO | device = mps
/Users/erqian/Desktop/util_udf/mi_decoder/.venv/lib/python3.12/site-packages/braindecode/models/eegpt.py:497: FutureWarning: Montage name 'standard_1020' is deprecated and will be removed in MNE 1.14. Use 'colin27_1020' instead.
  montage = mne.channels.make_standard_montage("standard_1020")
/Users/erqian/Desktop/util_udf/mi_decoder/.venv/lib/python3.12/site-packages/braindecode/models/eegpt.py:1452: FutureWarning: Montage name 'standard_1020' is deprecated and will be removed in MNE 1.14. Use 'colin27_1020' instead.
  montage = make_standard_montage("standard_1020")
22:06:12 | pseudo_online | INFO | S001 | eegnet | acc_at_end=0.500 | best acc=0.571 @0.50s | ITR=1.8 | rest FPR=0.00
22:06:22 | pseudo_online | INFO | S002 | eegnet | acc_at_end=0.857 | best acc=0.929 @3.75s | ITR=10.1 | rest FPR=0.91
22:06:25 | pseudo_online | INFO | S003 | eegnet | acc_at_end=0.571 | best acc=0.857 @1.75s | ITR=14.0 | rest FPR=0.00
22:06:28 | pseudo_online | INFO | S004 | eegnet | acc_at_end=0.500 | best acc=0.571 @0.50s | ITR=1.8 | rest FPR=0.00
22:06:32 | pseudo_online | INFO | S005 | eegnet | acc_at_end=0.643 | best acc=0.714 @0.50s | ITR=16.4 | rest FPR=0.00
22:06:36 | pseudo_online | INFO | S006 | eegnet | acc_at_end=0.500 | best acc=0.714 @2.75s | ITR=3.0 | rest FPR=0.00
22:06:40 | pseudo_online | INFO | S007 | eegnet | acc_at_end=0.500 | best acc=0.571 @0.75s | ITR=1.2 | rest FPR=0.01
22:06:44 | pseudo_online | INFO | S008 | eegnet | acc_at_end=0.500 | best acc=0.500 @0.50s | ITR=0.0 | rest FPR=0.00
22:06:47 | pseudo_online | INFO | S009 | eegnet | acc_at_end=0.714 | best acc=0.786 @3.00s | ITR=5.0 | rest FPR=0.00
22:06:51 | pseudo_online | INFO | S010 | eegnet | acc_at_end=0.500 | best acc=0.643 @1.00s | ITR=3.6 | rest FPR=0.00
22:06:54 | pseudo_online | INFO | S011 | eegnet | acc_at_end=0.429 | best acc=0.857 @1.00s | ITR=24.5 | rest FPR=0.00
22:06:59 | pseudo_online | INFO | S012 | eegnet | acc_at_end=0.643 | best acc=0.714 @2.50s | ITR=3.3 | rest FPR=0.11
22:07:03 | pseudo_online | INFO | S013 | eegnet | acc_at_end=0.500 | best acc=0.643 @0.50s | ITR=7.2 | rest FPR=0.00
22:07:09 | pseudo_online | INFO | S014 | eegnet | acc_at_end=0.714 | best acc=0.786 @2.00s | ITR=7.5 | rest FPR=0.53
22:07:14 | pseudo_online | INFO | S015 | eegnet | acc_at_end=0.429 | best acc=0.857 @1.75s | ITR=14.0 | rest FPR=0.12
22:07:19 | pseudo_online | INFO | S016 | eegnet | acc_at_end=0.429 | best acc=0.571 @0.75s | ITR=1.2 | rest FPR=0.44
22:07:22 | pseudo_online | INFO | S017 | eegnet | acc_at_end=0.429 | best acc=0.786 @1.50s | ITR=10.0 | rest FPR=0.00
22:07:24 | pseudo_online | INFO | S018 | eegnet | acc_at_end=0.786 | best acc=0.857 @2.00s | ITR=12.2 | rest FPR=0.00
22:07:29 | pseudo_online | INFO | S019 | eegnet | acc_at_end=0.571 | best acc=0.643 @1.25s | ITR=2.9 | rest FPR=0.05
22:07:34 | pseudo_online | INFO | S020 | eegnet | acc_at_end=0.500 | best acc=0.786 @3.25s | ITR=4.6 | rest FPR=0.21
22:07:39 | pseudo_online | INFO | S021 | eegnet | acc_at_end=0.429 | best acc=0.500 @2.00s | ITR=0.0 | rest FPR=0.74
22:07:43 | pseudo_online | INFO | S022 | eegnet | acc_at_end=0.500 | best acc=0.786 @2.75s | ITR=5.5 | rest FPR=0.03
22:07:46 | pseudo_online | INFO | S023 | eegnet | acc_at_end=0.500 | best acc=0.786 @1.00s | ITR=15.0 | rest FPR=0.00
22:07:48 | pseudo_online | INFO | S024 | eegnet | acc_at_end=0.500 | best acc=0.643 @3.50s | ITR=1.0 | rest FPR=0.00
22:07:51 | pseudo_online | INFO | S025 | eegnet | acc_at_end=0.357 | best acc=0.571 @1.50s | ITR=0.6 | rest FPR=0.00
22:07:57 | pseudo_online | INFO | S026 | eegnet | acc_at_end=0.500 | best acc=0.571 @0.75s | ITR=1.2 | rest FPR=0.99
22:07:59 | pseudo_online | INFO | S027 | eegnet | acc_at_end=0.571 | best acc=0.714 @3.00s | ITR=2.7 | rest FPR=0.00
22:08:02 | pseudo_online | INFO | S028 | eegnet | acc_at_end=0.357 | best acc=0.714 @2.00s | ITR=4.1 | rest FPR=0.00
22:08:13 | pseudo_online | INFO | S029 | eegnet | acc_at_end=1.000 | best acc=1.000 @2.50s | ITR=24.0 | rest FPR=0.90
22:08:18 | pseudo_online | INFO | S030 | eegnet | acc_at_end=0.429 | best acc=0.714 @1.75s | ITR=4.7 | rest FPR=0.32
22:08:21 | pseudo_online | INFO | S031 | eegnet | acc_at_end=0.429 | best acc=0.714 @1.00s | ITR=8.2 | rest FPR=0.00
22:08:24 | pseudo_online | INFO | S032 | eegnet | acc_at_end=0.571 | best acc=0.643 @1.25s | ITR=2.9 | rest FPR=0.00
22:08:27 | pseudo_online | INFO | S033 | eegnet | acc_at_end=0.857 | best acc=0.857 @4.00s | ITR=6.1 | rest FPR=0.00
22:08:30 | pseudo_online | INFO | S034 | eegnet | acc_at_end=0.429 | best acc=0.643 @3.25s | ITR=1.1 | rest FPR=0.00
22:08:35 | pseudo_online | INFO | S035 | eegnet | acc_at_end=0.571 | best acc=0.714 @3.50s | ITR=2.3 | rest FPR=0.19
22:08:44 | pseudo_online | INFO | S036 | eegnet | acc_at_end=0.714 | best acc=0.714 @1.75s | ITR=4.7 | rest FPR=0.71
22:08:47 | pseudo_online | INFO | S037 | eegnet | acc_at_end=0.500 | best acc=0.571 @1.50s | ITR=0.6 | rest FPR=0.00
22:08:49 | pseudo_online | INFO | S038 | eegnet | acc_at_end=0.643 | best acc=0.714 @3.25s | ITR=2.5 | rest FPR=0.00
22:08:52 | pseudo_online | INFO | S039 | eegnet | acc_at_end=0.500 | best acc=0.643 @0.75s | ITR=4.8 | rest FPR=0.00
22:08:56 | pseudo_online | INFO | S040 | eegnet | acc_at_end=0.357 | best acc=0.714 @1.50s | ITR=5.5 | rest FPR=0.00
22:08:58 | pseudo_online | INFO | S041 | eegnet | acc_at_end=0.429 | best acc=0.643 @3.00s | ITR=1.2 | rest FPR=0.00
22:09:02 | pseudo_online | INFO | S042 | eegnet | acc_at_end=0.500 | best acc=0.500 @0.50s | ITR=0.0 | rest FPR=0.09
22:09:11 | pseudo_online | INFO | S043 | eegnet | acc_at_end=0.429 | best acc=0.643 @2.50s | ITR=1.4 | rest FPR=0.82
22:09:15 | pseudo_online | INFO | S044 | eegnet | acc_at_end=0.571 | best acc=0.857 @3.25s | ITR=7.5 | rest FPR=0.02
22:09:18 | pseudo_online | INFO | S045 | eegnet | acc_at_end=0.500 | best acc=0.714 @0.50s | ITR=16.4 | rest FPR=0.00
22:09:25 | pseudo_online | INFO | S046 | eegnet | acc_at_end=0.571 | best acc=0.714 @0.50s | ITR=16.4 | rest FPR=0.53
22:09:27 | pseudo_online | INFO | S047 | eegnet | acc_at_end=0.714 | best acc=0.714 @1.00s | ITR=8.2 | rest FPR=0.00
22:09:29 | pseudo_online | INFO | S048 | eegnet | acc_at_end=0.643 | best acc=0.714 @0.75s | ITR=11.0 | rest FPR=0.00
22:09:39 | pseudo_online | INFO | S049 | eegnet | acc_at_end=0.786 | best acc=0.929 @2.50s | ITR=15.1 | rest FPR=0.94
22:09:45 | pseudo_online | INFO | S050 | eegnet | acc_at_end=0.500 | best acc=0.714 @3.75s | ITR=2.2 | rest FPR=0.60
22:09:48 | pseudo_online | INFO | S051 | eegnet | acc_at_end=0.643 | best acc=0.714 @0.50s | ITR=16.4 | rest FPR=0.00
22:09:51 | pseudo_online | INFO | S052 | eegnet | acc_at_end=0.500 | best acc=0.571 @0.50s | ITR=1.8 | rest FPR=0.00
22:09:55 | pseudo_online | INFO | S053 | eegnet | acc_at_end=0.571 | best acc=0.571 @4.00s | ITR=0.2 | rest FPR=0.03
22:10:08 | pseudo_online | INFO | S054 | eegnet | acc_at_end=0.714 | best acc=0.929 @2.00s | ITR=18.9 | rest FPR=0.84
22:10:10 | pseudo_online | INFO | S055 | eegnet | acc_at_end=0.500 | best acc=0.714 @1.75s | ITR=4.7 | rest FPR=0.00
22:10:18 | pseudo_online | INFO | S056 | eegnet | acc_at_end=0.714 | best acc=0.857 @3.75s | ITR=6.5 | rest FPR=0.92
22:10:21 | pseudo_online | INFO | S057 | eegnet | acc_at_end=0.429 | best acc=0.714 @2.50s | ITR=3.3 | rest FPR=0.00
