22:14:26 | decode_cross_subject | INFO | 可用 88 人 -> 训练 70 人 / 测试 18 人: [1, 5, 12, 15, 22, 27, 31, 38, 65, 77, 78, 80, 81, 94, 98, 101, 105, 106]
22:14:26 | decode_cross_subject | INFO | == 模型族 csp: ['E1', 'E5', 'E8'] | 频带 [[8, 30]] | 对齐 ['euclid']
22:14:37 | decode_cross_subject | INFO | 训练被试 70 人, 共 3148 个训练窗
22:14:40 | decode_cross_subject | INFO | 测试被试 18 人
22:14:46 | decode_cross_subject | INFO | [E1] 训练完成: csp | 70 人 / 3148 窗 | align=None adaptive=False
22:14:46 | decode_cross_subject | INFO | [E1] S001 | acc_at_end=0.622 | best=0.689 @1.75s | rest FPR=0.05
22:14:46 | decode_cross_subject | INFO | [E1] S005 | acc_at_end=0.467 | best=0.467 @0.50s | rest FPR=0.94
22:14:46 | decode_cross_subject | INFO | [E1] S012 | acc_at_end=0.467 | best=0.489 @1.50s | rest FPR=0.34
22:14:47 | decode_cross_subject | INFO | [E1] S015 | acc_at_end=0.489 | best=0.689 @1.00s | rest FPR=0.18
22:14:47 | decode_cross_subject | INFO | [E1] S022 | acc_at_end=0.511 | best=0.711 @0.75s | rest FPR=0.02
22:14:47 | decode_cross_subject | INFO | [E1] S027 | acc_at_end=0.489 | best=0.689 @2.00s | rest FPR=0.26
22:14:47 | decode_cross_subject | INFO | [E1] S031 | acc_at_end=0.578 | best=0.622 @2.75s | rest FPR=0.23
22:14:47 | decode_cross_subject | INFO | [E1] S038 | acc_at_end=0.578 | best=0.600 @2.25s | rest FPR=0.07
22:14:47 | decode_cross_subject | INFO | [E1] S065 | acc_at_end=0.556 | best=0.578 @3.50s | rest FPR=0.09
22:14:47 | decode_cross_subject | INFO | [E1] S077 | acc_at_end=0.422 | best=0.622 @2.00s | rest FPR=0.07
22:14:47 | decode_cross_subject | INFO | [E1] S078 | acc_at_end=0.489 | best=0.622 @2.75s | rest FPR=0.14
22:14:47 | decode_cross_subject | INFO | [E1] S080 | acc_at_end=0.600 | best=0.600 @4.00s | rest FPR=0.14
22:14:48 | decode_cross_subject | INFO | [E1] S081 | acc_at_end=0.489 | best=0.489 @0.50s | rest FPR=0.59
22:14:48 | decode_cross_subject | INFO | [E1] S094 | acc_at_end=0.600 | best=0.644 @2.00s | rest FPR=0.37
