subject,n_trials,E1_best_offset,E1_best_acc,E1_acc_at_end,E1_itr_bits_min,E1_rest_fpr,E5_best_offset,E5_best_acc,E5_acc_at_end,E5_itr_bits_min,E5_rest_fpr,E8_best_offset,E8_best_acc,E8_acc_at_end,E8_itr_bits_min,E8_rest_fpr,E3_best_offset,E3_best_acc,E3_acc_at_end,E3_itr_bits_min,E3_rest_fpr,E6_best_offset,E6_best_acc,E6_acc_at_end,E6_itr_bits_min,E6_rest_fpr,E2_best_offset,E2_best_acc,E2_acc_at_end,E2_itr_bits_min,E2_rest_fpr,E4_best_offset,E4_best_acc,E4_acc_at_end,E4_itr_bits_min,E4_rest_fpr,E7_best_offset,E7_best_acc,E7_acc_at_end,E7_itr_bits_min,E7_rest_fpr,within_csp_acc_at_end,within_csp_rest_fpr,within_eegnet_acc_at_end,within_eegnet_rest_fpr
1,45,1.75,0.6888888888888889,0.6222222222222222,3.6187925302584594,0.0543209876543209,2.5,0.8,0.7111111111111111,6.673725722703304,0.3604938271604938,2.25,0.8444444444444444,0.6222222222222222,10.038127780992069,0.6,2.0,0.8,0.6222222222222222,8.34215715337913,0.7728395061728395,2.0,0.7555555555555555,0.6222222222222222,5.929396715124295,0.8123456790123457,0.5,0.6888888888888889,0.5777777777777777,12.665773855904607,0.3234567901234568,1.75,0.7555555555555555,0.6888888888888889,6.776453388713479,0.4049382716049383,3.5,0.7111111111111111,0.6888888888888889,2.2751721908567006,0.4049382716049383,0.6428571428571429,0.9145299145299144,0.5,0.0
5,45,0.5,0.4666666666666667,0.4666666666666667,0.0,0.94320987654321,1.5,0.6,0.4444444444444444,1.1619762218132568,0.1703703703703703,0.75,0.6,0.4222222222222222,2.3239524436265135,0.2790123456790123,2.5,0.5333333333333333,0.4888888888888889,0.0770008324407225,0.7925925925925926,1.5,0.6222222222222222,0.4222222222222222,1.741703808029622,0.7555555555555555,0.5,0.4888888888888889,0.4666666666666667,0.0,0.6987654320987654,1.0,0.5777777777777777,0.4444444444444444,1.0515547896815391,0.12345679012345678,1.0,0.6444444444444445,0.4666666666666667,3.664079365152313,0.13580246913580246,0.6428571428571429,0.9743589743589745,0.6428571428571429,0.0
12,45,1.5,0.4888888888888889,0.4666666666666667,0.0,0.3358024691358025,2.0,0.7333333333333333,0.6444444444444445,4.900777741764983,0.3135802469135803,1.75,0.6888888888888889,0.5333333333333333,3.6187925302584594,0.4518518518518518,2.0,0.6666666666666666,0.5777777777777777,2.4511249783653133,0.8222222222222222,2.25,0.6666666666666666,0.6444444444444445,2.178777758546945,0.7061728395061728,2.75,0.6,0.4666666666666667,0.6338052118981401,0.2938271604938272,0.75,0.7111111111111111,0.5555555555555556,10.617470223997936,0.09135802469135802,3.0,0.6888888888888889,0.6222222222222222,2.1109623093174346,0.37037037037037035,0.7142857142857143,0.9316239316239316,0.6428571428571429,0.1111111111111111
15,45,1.0,0.6888888888888889,0.4888888888888889,6.332886927952304,0.1802469135802469,2.0,0.8444444444444444,0.6666666666666666,11.292893753616076,0.362962962962963,2.0,0.8888888888888888,0.6444444444444445,14.902249956730628,0.5506172839506173,2.5,0.7111111111111111,0.6222222222222222,3.1852410671993807,0.8617283950617284,1.0,0.7555555555555555,0.5555555555555556,11.85879343024859,0.8098765432098766,1.25,0.6888888888888889,0.5333333333333333,5.066309542361843,0.4172839506172839,2.5,0.8888888888888888,0.7111111111111111,11.921799965384501,0.5753086419753086,2.5,0.8444444444444444,0.8222222222222222,9.034315002892862,0.5728395061728395,0.7142857142857143,0.9145299145299144,0.4285714285714285,0.1196581196581196
22,45,0.75,0.7111111111111111,0.5111111111111111,10.617470223997936,0.0172839506172839,1.5,0.7111111111111111,0.4666666666666667,5.308735111998968,0.3728395061728395,0.5,0.5777777777777777,0.4444444444444444,2.1031095793630783,0.5851851851851851,2.5,0.6444444444444445,0.4888888888888889,1.4656317460609252,0.7703703703703704,1.0,0.6,0.5333333333333333,1.7429643327198852,0.7777777777777778,1.75,0.6666666666666666,0.4,2.801285689560358,0.128395061728395,2.5,0.7777777777777778,0.5111111111111111,5.659091843793112,0.25679012345679014,0.75,0.6,0.5333333333333333,2.3239524436265135,0.32839506172839505,0.3571428571428571,0.9743589743589745,0.5,0.0256410256410256
27,45,2.0,0.6888888888888889,0.4888888888888889,3.166443463976152,0.2617283950617284,1.25,0.6888888888888889,0.5555555555555556,5.066309542361843,0.5012345679012346,2.75,0.6444444444444445,0.6,1.3323924964190228,0.4987654320987654,2.75,0.6666666666666666,0.5777777777777777,1.782636347902046,0.7530864197530864,2.0,0.6666666666666666,0.5333333333333333,2.4511249783653133,0.7580246913580246,2.0,0.7111111111111111,0.4444444444444444,3.981551333999226,0.3777777777777777,2.5,0.6444444444444445,0.4444444444444444,1.4656317460609252,0.49876543209876545,1.75,0.7555555555555555,0.6222222222222222,6.776453388713479,0.43209876543209874,0.6428571428571429,0.8461538461538461,0.5714285714285714,0.0
31,45,2.75,0.6222222222222222,0.5777777777777777,0.9500202589252484,0.2296296296296296,2.5,0.9111111111111112,0.7111111111111111,13.6139961890699,0.3580246913580246,2.5,0.9333333333333332,0.7777777777777778,15.519375959485888,0.5753086419753086,2.25,0.8666666666666667,0.7777777777777778,11.559746491922526,0.8049382716049382,2.75,0.8444444444444444,0.7777777777777778,8.21301363899351,0.837037037037037,2.0,0.7555555555555555,0.5555555555555556,5.929396715124295,0.2345679012345679,2.5,0.8666666666666667,0.6444444444444445,10.403771842730274,0.17530864197530865,1.5,0.8222222222222222,0.6,12.992342394165135,0.2716049382716049,1.0,0.8461538461538461,0.4285714285714285,0.0
38,45,2.25,0.6,0.5777777777777777,0.7746508145421712,0.0716049382716049,1.75,0.6666666666666666,0.3333333333333333,2.801285689560358,0.2172839506172839,2.25,0.6666666666666666,0.3111111111111111,2.178777758546945,0.3555555555555555,1.0,0.5777777777777777,0.5111111111111111,1.0515547896815391,0.8592592592592593,1.5,0.6888888888888889,0.5111111111111111,4.221924618634869,0.7851851851851852,2.25,0.6666666666666666,0.5555555555555556,2.178777758546945,0.2518518518518518,1.75,0.6222222222222222,0.5111111111111111,1.4928889783111046,0.24938271604938272,2.25,0.6222222222222222,0.5333333333333333,1.161135872019748,0.28641975308641976,0.6428571428571429,0.905982905982906,0.6428571428571429,0.0
65,45,3.5,0.5777777777777777,0.5555555555555556,0.3004442256232969,0.0938271604938271,0.75,0.7333333333333333,0.6888888888888889,13.068740644706622,0.2666666666666666,2.5,0.7333333333333333,0.6888888888888889,3.9206221934119863,0.382716049382716,1.75,0.6444444444444445,0.5333333333333333,2.0937596372298932,0.8024691358024691,1.75,0.7111111111111111,0.5111111111111111,4.550344381713401,0.7382716049382716,3.75,0.6222222222222222,0.5777777777777777,0.6966815232118488,0.2691358024691358,2.75,0.7333333333333333,0.6666666666666666,3.564201994010897,0.3728395061728395,2.0,0.7333333333333333,0.6,4.900777741764983,0.2962962962962963,0.7142857142857143,0.8803418803418803,0.5,0.0
77,45,2.0,0.6222222222222222,0.4222222222222222,1.3062778560222166,0.074074074074074,2.5,0.6444444444444445,0.4444444444444444,1.4656317460609252,0.3925925925925926,2.0,0.5777777777777777,0.4444444444444444,0.5257773948407696,0.6617283950617284,2.0,0.6222222222222222,0.4666666666666667,1.3062778560222166,0.8395061728395061,2.0,0.6444444444444445,0.5111111111111111,1.8320396825761565,0.7950617283950617,3.75,0.6222222222222222,0.5111111111111111,0.6966815232118488,0.4246913580246914,2.5,0.7555555555555555,0.4444444444444444,4.7435173720994355,0.6024691358024692,2.5,0.6666666666666666,0.5777777777777777,1.9608999826922506,0.42962962962962964,0.5,0.9487179487179488,0.7142857142857143,0.7350427350427351
