offset,acc,n,subject,exp
0.5,0.6666666666666666,45,1,E1
0.75,0.6444444444444445,45,1,E1
1.0,0.6444444444444445,45,1,E1
1.25,0.5555555555555556,45,1,E1
1.5,0.6,45,1,E1
1.75,0.6888888888888889,45,1,E1
2.0,0.6444444444444445,45,1,E1
2.25,0.5777777777777777,45,1,E1
2.5,0.6,45,1,E1
2.75,0.5555555555555556,45,1,E1
3.0,0.5333333333333333,45,1,E1
3.25,0.5555555555555556,45,1,E1
3.5,0.6444444444444445,45,1,E1
3.75,0.6666666666666666,45,1,E1
4.0,0.6222222222222222,45,1,E1
0.5,0.4666666666666667,45,5,E1
0.75,0.4666666666666667,45,5,E1
1.0,0.4666666666666667,45,5,E1
1.25,0.4666666666666667,45,5,E1
1.5,0.4666666666666667,45,5,E1
1.75,0.4666666666666667,45,5,E1
2.0,0.4666666666666667,45,5,E1
2.25,0.4666666666666667,45,5,E1
2.5,0.4666666666666667,45,5,E1
2.75,0.4666666666666667,45,5,E1
3.0,0.4666666666666667,45,5,E1
3.25,0.4666666666666667,45,5,E1
3.5,0.4666666666666667,45,5,E1
3.75,0.4666666666666667,45,5,E1
4.0,0.4666666666666667,45,5,E1
0.5,0.4222222222222222,45,12,E1
0.75,0.4444444444444444,45,12,E1
1.0,0.4222222222222222,45,12,E1
1.25,0.4444444444444444,45,12,E1
1.5,0.4888888888888889,45,12,E1
1.75,0.4888888888888889,45,12,E1
2.0,0.4888888888888889,45,12,E1
2.25,0.4666666666666667,45,12,E1
2.5,0.4666666666666667,45,12,E1
2.75,0.4666666666666667,45,12,E1
3.0,0.4666666666666667,45,12,E1
3.25,0.4666666666666667,45,12,E1
3.5,0.4444444444444444,45,12,E1
3.75,0.4444444444444444,45,12,E1
4.0,0.4666666666666667,45,12,E1
0.5,0.6222222222222222,45,15,E1
0.75,0.6222222222222222,45,15,E1
1.0,0.6888888888888889,45,15,E1
1.25,0.6222222222222222,45,15,E1
1.5,0.6888888888888889,45,15,E1
1.75,0.6,45,15,E1
2.0,0.6,45,15,E1
2.25,0.5111111111111111,45,15,E1
2.5,0.5111111111111111,45,15,E1
2.75,0.4888888888888889,45,15,E1
3.0,0.4888888888888889,45,15,E1
3.25,0.4888888888888889,45,15,E1
3.5,0.4888888888888889,45,15,E1
3.75,0.4888888888888889,45,15,E1
4.0,0.4888888888888889,45,15,E1
0.5,0.6888888888888889,45,22,E1
0.75,0.7111111111111111,45,22,E1
1.0,0.7111111111111111,45,22,E1
1.25,0.6666666666666666,45,22,E1
1.5,0.6666666666666666,45,22,E1
1.75,0.6444444444444445,45,22,E1
2.0,0.6222222222222222,45,22,E1
2.25,0.6,45,22,E1
2.5,0.6666666666666666,45,22,E1
2.75,0.6,45,22,E1
3.0,0.6222222222222222,45,22,E1
3.25,0.6222222222222222,45,22,E1
3.5,0.5111111111111111,45,22,E1
3.75,0.5111111111111111,45,22,E1
4.0,0.5111111111111111,45,22,E1
0.5,0.4888888888888889,45,27,E1
0.75,0.5111111111111111,45,27,E1
1.0,0.5333333333333333,45,27,E1
1.25,0.6222222222222222,45,27,E1
1.5,0.6222222222222222,45,27,E1
1.75,0.6666666666666666,45,27,E1
2.0,0.6888888888888889,45,27,E1
2.25,0.6888888888888889,45,27,E1
2.5,0.5777777777777777,45,27,E1
2.75,0.5111111111111111,45,27,E1
3.0,0.5555555555555556,45,27,E1
3.25,0.5777777777777777,45,27,E1
3.5,0.5555555555555556,45,27,E1
3.75,0.5111111111111111,45,27,E1
4.0,0.4888888888888889,45,27,E1
0.5,0.5111111111111111,45,31,E1
0.75,0.5111111111111111,45,31,E1
1.0,0.5333333333333333,45,31,E1
1.25,0.5555555555555556,45,31,E1
1.5,0.5777777777777777,45,31,E1
1.75,0.6,45,31,E1
2.0,0.6,45,31,E1
2.25,0.5777777777777777,45,31,E1
2.5,0.6,45,31,E1
2.75,0.6222222222222222,45,31,E1
3.0,0.6,45,31,E1
3.25,0.5555555555555556,45,31,E1
