subject,n_left,n_right,mu_contra_pct,mu_ipsi_pct,mu_lat_pct,beta_contra_pct,beta_ipsi_pct,beta_lat_pct,mu_class
1,21,20,-29.61,-18.85,-10.77,-2.63,-3.73,1.09,strong
2,23,22,-20.8,-16.97,-3.83,-29.18,-13.25,-15.93,strong
3,23,21,32.24,11.8,20.44,3.44,5.41,-1.97,none_or_reversed
4,23,22,-33.15,-11.06,-22.1,10.29,14.65,-4.36,strong
5,21,24,11.01,5.57,5.44,-5.04,-4.73,-0.31,none_or_reversed
6,24,21,-16.57,4.13,-20.7,-7.99,-3.12,-4.87,medium
7,23,19,-24.45,1.89,-26.35,-28.51,-12.46,-16.05,strong
8,22,23,-34.84,-24.47,-10.37,-13.52,-16.56,3.04,strong
10,18,10,-37.27,-18.31,-18.96,-2.76,-12.05,9.29,strong
11,22,22,-17.49,-16.95,-0.54,-17.91,-13.13,-4.77,medium
12,21,23,0.53,1.02,-0.49,-10.47,9.77,-20.25,none_or_reversed
14,22,23,-19.43,-18.21,-1.22,-9.18,-4.7,-4.48,medium
15,20,17,-29.6,-17.51,-12.09,-31.28,-22.54,-8.74,strong
16,22,23,-25.27,-26.61,1.35,-27.71,-30.04,2.33,strong
18,22,23,16.36,3.01,13.35,17.61,23.03,-5.42,none_or_reversed
19,12,10,-28.95,-14.53,-14.42,-14.15,10.22,-24.37,strong
20,23,22,-14.41,-7.2,-7.2,-21.11,-24.47,3.37,medium
21,24,20,0.44,17.14,-16.7,-10.88,-0.99,-9.9,none_or_reversed
22,13,12,7.95,20.65,-12.69,-24.74,-21.33,-3.41,none_or_reversed
23,13,9,-49.86,-65.46,15.6,-34.83,-37.22,2.4,strong
25,22,23,-51.99,-45.99,-6.0,1.34,-4.01,5.35,strong
26,24,21,2.68,18.56,-15.88,9.92,25.06,-15.14,none_or_reversed
27,21,19,-25.9,-29.68,3.78,-6.0,-4.21,-1.79,strong
28,17,17,-28.76,-39.76,11.01,-13.82,-15.76,1.94,strong
29,23,22,-63.49,-45.53,-17.97,-53.68,-30.5,-23.18,strong
30,24,21,-2.93,-18.06,15.12,-22.83,-5.3,-17.54,weak
31,22,23,-32.62,-17.08,-15.54,-11.92,-0.31,-11.61,strong
32,12,16,-40.56,-43.95,3.39,-45.72,-37.74,-7.99,strong
33,23,22,-71.82,-49.2,-22.62,-34.09,-33.98,-0.11,strong
34,21,22,-76.65,-52.7,-23.94,-37.55,-27.52,-10.04,strong
35,22,23,-50.43,-46.63,-3.79,-38.51,-39.32,0.81,strong
36,18,18,-8.39,-17.23,8.84,-13.49,-19.25,5.76,weak
37,22,21,-2.97,16.94,-19.91,16.93,18.46,-1.53,weak
38,23,21,1.32,16.57,-15.25,-4.7,-2.05,-2.65,none_or_reversed
39,9,8,19.98,4.44,15.54,4.18,6.05,-1.87,none_or_reversed
40,19,24,5.67,-12.99,18.66,-7.88,1.71,-9.58,none_or_reversed
41,23,21,-17.37,-15.03,-2.34,-13.34,-1.57,-11.77,medium
42,22,23,-36.45,4.96,-41.41,-28.85,-0.14,-28.71,strong
43,9,13,-38.52,-22.52,-16.0,-16.65,-15.16,-1.49,strong
44,10,7,-41.43,-40.53,-0.9,-32.15,-25.66,-6.49,strong
45,19,20,-16.09,-20.7,4.62,-21.87,-25.32,3.44,medium
46,21,19,-23.05,-15.46,-7.59,-3.53,-0.26,-3.26,strong
47,24,21,-3.76,2.33,-6.09,9.17,-0.11,9.28,weak
49,16,10,3.27,-1.68,4.95,-9.43,0.98,-10.41,none_or_reversed
50,23,22,13.98,10.81,3.17,-5.86,-7.42,1.56,none_or_reversed
51,24,21,22.04,-2.28,24.32,-23.58,-20.51,-3.06,none_or_reversed
54,18,16,-65.93,-50.39,-15.53,-36.61,-32.19,-4.42,strong
55,23,22,-30.83,-27.03,-3.8,-19.45,-9.62,-9.83,strong
57,10,11,12.66,7.99,4.66,2.79,-5.56,8.35,none_or_reversed
58,24,20,-2.23,8.25,-10.48,0.79,0.48,0.31,weak
59,21,14,-25.36,-29.55,4.19,-14.53,-5.75,-8.78,strong
60,19,20,-32.07,8.12,-40.18,-26.84,-11.18,-15.66,strong
62,23,22,-66.24,-45.61,-20.63,-29.08,-20.37,-8.71,strong
63,22,21,-1.39,10.49,-11.89,2.05,7.95,-5.9,weak
64,23,21,-13.46,-20.79,7.32,-14.73,-17.13,2.4,medium
65,23,21,-3.99,-19.85,15.86,-9.71,-13.7,3.99,weak
66,22,22,10.89,6.0,4.89,15.21,5.32,9.89,none_or_reversed
67,22,23,6.16,30.61,-24.45,17.69,24.3,-6.6,none_or_reversed
68,16,19,-10.39,-8.33,-2.06,-21.98,-16.59,-5.39,medium
69,24,21,-38.86,-44.85,5.99,-29.72,-29.65,-0.07,strong
70,22,22,-20.85,-10.05,-10.8,-18.37,-9.96,-8.41,strong
71,19,20,6.41,12.43,-6.02,-17.53,-10.78,-6.75,none_or_reversed
72,22,21,-75.06,-41.93,-33.13,-45.41,-25.42,-20.0,strong
73,21,21,4.23,5.83,-1.59,-26.92,-31.74,4.82,none_or_reversed
74,22,21,-23.64,-23.9,0.26,-14.54,-8.52,-6.02,strong
76,21,21,-12.71,-8.92,-3.8,14.16,17.34,-3.18,medium
77,16,17,-10.44,-11.07,0.63,9.05,13.09,-4.05,medium
78,22,21,-9.93,-6.89,-3.04,-24.0,-4.34,-19.66,weak
79,15,13,-10.42,-17.81,7.39,-4.61,1.71,-6.32,medium
80,23,21,-21.85,-30.07,8.21,-15.08,-28.42,13.34,strong
81,22,23,17.56,24.04,-6.48,6.08,4.48,1.6,none_or_reversed
82,23,21,-23.25,-3.61,-19.64,-13.45,-4.81,-8.64,strong
83,14,17,-37.79,-37.92,0.13,-25.13,-9.76,-15.36,strong
84,16,17,-8.21,37.86,-46.08,-31.84,12.03,-43.87,weak
85,19,19,-53.32,-13.72,-39.61,-23.54,-15.07,-8.47,strong
86,5,7,-17.81,-10.72,-7.09,-9.68,11.17,-20.86,medium
87,18,20,11.47,-2.63,14.1,0.26,0.74,-0.48,none_or_reversed
89,24,21,9.02,-4.35,13.37,-8.5,-4.21,-4.29,none_or_reversed
93,23,22,-39.49,-6.44,-33.05,-25.1,-9.17,-15.93,strong
94,16,21,-10.99,2.6,-13.58,-15.69,-1.41,-14.28,medium
96,18,15,-5.89,-13.76,7.86,-0.98,-9.96,8.97,weak
97,19,21,-3.84,21.95,-25.78,17.77,14.03,3.74,weak
98,23,22,-27.59,-25.15,-2.44,-11.84,-3.21,-8.63,strong
101,22,23,11.56,22.06,-10.5,-1.5,6.19,-7.69,none_or_reversed
102,21,21,-10.42,-18.97,8.56,-34.23,-26.28,-7.95,medium
103,18,17,9.25,-10.6,19.85,-0.79,-1.06,0.27,none_or_reversed
104,21,21,-13.24,-22.39,9.15,-11.73,-18.75,7.02,medium
105,22,22,-25.67,-19.59,-6.08,-13.4,-13.87,0.47,strong
106,23,21,-11.35,-13.55,2.2,-9.43,-14.99,5.56,medium
107,17,12,-2.06,-10.22,8.16,-0.59,-2.15,1.56,weak
108,10,11,-22.84,19.0,-41.84,24.82,25.13,-0.31,strong
109,10,8,16.54,-7.38,23.91,23.34,4.9,18.44,none_or_reversed
