subject,n_bads,bads,n_ica_excluded,n_epochs_kept,n_epochs_total,sfreq,status
1,1,T10,1,41,45,160.0,ok
2,1,AF7,2,45,45,160.0,ok
3,4,Fp1;Fpz;Fp2;AF7,1,44,45,160.0,ok
4,1,FT8,2,45,45,160.0,ok
5,2,TP7;Iz,1,45,45,160.0,ok
6,1,Fp1,1,45,45,160.0,ok
7,5,Fp1;Fp2;AF7;AF4;AF8,1,42,45,160.0,ok
8,5,Fp1;Fpz;Fp2;AF7;AF8,2,45,45,160.0,ok
9,2,AF7;AF8,1,0,45,160.0,ok
10,4,Cz;Pz;P2;P4,1,28,45,160.0,ok
11,2,AF7;AF8,2,44,45,160.0,ok
12,3,Fp1;Fpz;Fp2,2,44,45,160.0,ok
13,1,AF8,1,1,45,160.0,ok
14,3,Fp1;Fpz;Fp2,1,45,45,160.0,ok
15,3,Fp1;Fp2;T10,1,37,45,160.0,ok
16,4,Fp1;Fpz;Fp2;AF8,2,45,45,160.0,ok
17,1,T10,1,6,45,160.0,ok
18,1,Fp1,0,45,45,160.0,ok
19,3,Fp1;AF7;AF8,1,22,45,160.0,ok
20,4,Fp1;Fp2;AF7;AF8,2,45,45,160.0,ok
21,3,C5;Fp1;Fpz,2,44,45,160.0,ok
22,5,Fp1;Fpz;Fp2;AF7;AF8,1,25,45,160.0,ok
23,3,Fp1;AF7;T10,2,22,45,160.0,ok
24,4,Fp1;Fp2;AF7;AF4,1,4,45,160.0,ok
25,0,,2,45,45,160.0,ok
26,0,,2,45,45,160.0,ok
27,2,Fp2;AF8,2,40,45,160.0,ok
28,2,Fp1;Fpz,2,34,45,160.0,ok
29,0,,1,45,45,160.0,ok
30,3,Fp1;Fpz;Fp2,1,45,45,160.0,ok
31,1,T10,1,45,45,160.0,ok
32,3,Fpz;Fp2;AF8,2,28,45,160.0,ok
33,4,Fp1;Fpz;Fp2;AF7,2,45,45,160.0,ok
34,2,Fp2;T8,1,43,45,160.0,ok
35,3,Fpz;Fp2;AF7,2,45,45,160.0,ok
36,4,Fp1;Fpz;Fp2;AF8,2,36,45,160.0,ok
37,1,T10,2,43,45,160.0,ok
38,1,T10,1,44,45,160.0,ok
39,2,Fp1;Fp2,1,17,45,160.0,ok
40,1,TP8,1,43,45,160.0,ok
41,1,T10,2,44,45,160.0,ok
42,1,T10,1,45,45,160.0,ok
43,1,T9,2,22,45,160.0,ok
44,3,Fp1;Fpz;Fp2,2,17,45,160.0,ok
45,0,,2,39,45,160.0,ok
46,5,Fp1;Fpz;Fp2;AF7;AF8,1,40,45,160.0,ok
47,4,Fp1;Fpz;Fp2;AF7,1,45,45,160.0,ok
48,0,,1,0,45,160.0,ok
49,4,Fp1;Fp2;AF7;T10,2,26,45,160.0,ok
50,0,,1,45,45,160.0,ok
51,0,,3,45,45,160.0,ok
52,0,,1,11,45,160.0,ok
53,3,Fp1;Fpz;Fp2,2,0,45,160.0,ok
54,3,Fp1;Fpz;Fp2,1,34,45,160.0,ok
55,2,Fp1;Fp2,2,45,45,160.0,ok
56,4,Fp1;Fpz;Fp2;AF7,1,16,45,160.0,ok
57,3,Fp1;AF7;AF8,1,21,45,160.0,ok
58,2,Fp2;AF8,1,44,45,160.0,ok
59,1,T8,2,35,45,160.0,ok
60,5,Fp1;Fpz;Fp2;AF7;AF8,1,39,45,160.0,ok
61,4,Fp1;Fpz;Fp2;AF7,1,4,45,160.0,ok
62,3,Fp1;Fpz;Fp2,1,45,45,160.0,ok
63,2,Fp1;AF7,1,43,45,160.0,ok
64,0,,2,44,45,160.0,ok
65,3,Fp1;Fp2;AF7,1,44,45,160.0,ok
66,3,Fp1;Fpz;Fp2,1,44,45,160.0,ok
67,1,AF7,2,45,45,160.0,ok
68,1,CP1,1,35,45,160.0,ok
69,5,Fp1;Fpz;Fp2;AF7;AF8,2,45,45,160.0,ok
70,4,Fp1;Fpz;Fp2;AF7,2,44,45,160.0,ok
71,0,,1,39,45,160.0,ok
72,0,,0,43,45,160.0,ok
73,5,Fp1;Fpz;Fp2;AF7;AF8,1,42,45,160.0,ok
74,1,T10,1,43,45,160.0,ok
75,2,Fp1;AF7,1,4,45,160.0,ok
76,4,Fp1;Fp2;AF7;F7,1,42,45,160.0,ok
77,1,Fp1,2,33,45,160.0,ok
78,3,Fp1;AF7;AF8,3,43,45,160.0,ok
79,2,Fp1;P1,1,28,45,160.0,ok
80,1,T10,2,44,45,160.0,ok
81,0,,0,45,45,160.0,ok
82,0,,1,44,45,160.0,ok
83,5,Fp1;Fpz;Fp2;AF7;AF8,1,31,45,160.0,ok
84,1,POz,1,33,45,160.0,ok
85,1,AF7,2,38,45,160.0,ok
86,1,Fp1,0,12,45,160.0,ok
87,2,AF8;T10,1,38,45,160.0,ok
89,3,Fp1;Fp2;AF8,1,45,45,160.0,ok
90,0,,0,2,45,160.0,ok
91,0,,0,0,45,160.0,ok
93,1,AF7,2,45,45,160.0,ok
94,2,Fpz;Fp2,2,37,45,160.0,ok
95,2,FC4;F3,1,8,45,160.0,ok
96,5,Fp1;Fpz;Fp2;AF7;AF8,2,33,45,160.0,ok
97,4,Fp1;Fpz;Fp2;AF8,1,40,45,160.0,ok
98,1,T10,1,45,45,160.0,ok
99,2,AF7;T10,1,6,45,160.0,ok
101,4,AF7;AF3;AF4;AF8,1,45,45,160.0,ok
102,1,AF7,1,42,45,160.0,ok
103,0,,1,35,45,160.0,ok
104,2,Fpz;AF8,2,42,43,160.0,ok
105,2,FC5;FC1,1,44,45,160.0,ok
106,3,Fp1;AF7;T10,2,44,45,160.0,ok
107,5,AF7;AF8;F4;F6;F8,0,29,45,160.0,ok
108,1,Fp2,2,21,45,160.0,ok
109,1,C4,1,18,45,160.0,ok
