subject,n_train,n_test,best_offset,best_acc,acc_at_end,itr_bits_min,rest_fpr,n_rest_windows
1,31,14,0.5,0.5714285714285714,0.5,1.7726236758898173,0.0,117
2,31,14,3.75,0.9285714285714286,0.8571428571428571,10.06028277374599,0.9145299145299145,117
3,31,14,1.75,0.8571428571428571,0.5714285714285714,13.999790448605916,0.0,117
4,31,14,0.5,0.5714285714285714,0.5,1.7726236758898173,0.0,117
5,31,14,0.5,0.7142857142857143,0.6428571428571429,16.425531772004295,0.0,117
6,31,14,2.75,0.7142857142857143,0.5,2.986460322182599,0.0,117
7,31,14,0.75,0.5714285714285714,0.5,1.1817491172598782,0.008547008547008548,117
8,31,14,0.5,0.5,0.5,0.0,0.0,117
9,31,14,3.0,0.7857142857142857,0.7142857142857143,5.008094854810402,0.0,117
10,31,14,1.0,0.6428571428571429,0.5,3.5828424797621383,0.0,117
11,31,14,1.0,0.8571428571428571,0.42857142857142855,24.49963328506035,0.0,117
12,31,14,2.5,0.7142857142857143,0.6428571428571429,3.2851063544008587,0.1111111111111111,117
13,31,14,0.5,0.6428571428571429,0.5,7.165684959524277,0.0,117
14,31,14,2.0,0.7857142857142857,0.7142857142857143,7.512142282215603,0.5299145299145299,117
15,31,14,1.75,0.8571428571428571,0.42857142857142855,13.999790448605916,0.11965811965811966,117
16,31,14,0.75,0.5714285714285714,0.42857142857142855,1.1817491172598782,0.4444444444444444,117
17,31,14,1.5,0.7857142857142857,0.42857142857142855,10.016189709620804,0.0,117
18,31,14,2.0,0.8571428571428571,0.7857142857142857,12.249816642530176,0.0,117
19,31,14,1.25,0.6428571428571429,0.5714285714285714,2.8662739838097107,0.05128205128205128,117
20,31,14,3.25,0.7857142857142857,0.5,4.6228567890557555,0.20512820512820512,117
21,31,14,2.0,0.5,0.42857142857142855,0.0,0.7350427350427351,117
22,31,14,2.75,0.7857142857142857,0.5,5.4633762052477115,0.02564102564102564,117
23,31,14,1.0,0.7857142857142857,0.5,15.024284564431206,0.0,117
24,31,14,3.5,0.6428571428571429,0.5,1.0236692799320395,0.0,117
25,31,14,1.5,0.5714285714285714,0.35714285714285715,0.5908745586299391,0.0,117
26,31,14,0.75,0.5714285714285714,0.5,1.1817491172598782,0.9914529914529915,117
27,31,14,3.0,0.7142857142857143,0.5714285714285714,2.7375886286673823,0.0,117
28,31,14,2.0,0.7142857142857143,0.35714285714285715,4.106382943001074,0.0,117
29,31,14,2.5,1.0,1.0,23.999999247838872,0.8974358974358975,117
30,31,14,1.75,0.7142857142857143,0.42857142857142855,4.693009077715513,0.3247863247863248,117
31,31,14,1.0,0.7142857142857143,0.42857142857142855,8.212765886002147,0.0,117
32,31,14,1.25,0.6428571428571429,0.5714285714285714,2.8662739838097107,0.0,117
33,31,14,4.0,0.8571428571428571,0.8571428571428571,6.124908321265088,0.0,117
34,31,14,3.25,0.6428571428571429,0.42857142857142855,1.1024130706960427,0.0,117
35,31,14,3.5,0.7142857142857143,0.5714285714285714,2.3465045388577566,0.18803418803418803,117
36,31,14,1.75,0.7142857142857143,0.7142857142857143,4.693009077715513,0.7094017094017094,117
37,31,14,1.5,0.5714285714285714,0.5,0.5908745586299391,0.0,117
38,31,14,3.25,0.7142857142857143,0.6428571428571429,2.527004888000661,0.0,117
39,31,14,0.75,0.6428571428571429,0.5,4.777123306349518,0.0,117
40,31,14,1.5,0.7142857142857143,0.35714285714285715,5.475177257334765,0.0,117
41,31,14,3.0,0.6428571428571429,0.42857142857142855,1.1942808265873794,0.0,117
42,31,14,0.5,0.5,0.5,0.0,0.09401709401709402,117
43,31,14,2.5,0.6428571428571429,0.42857142857142855,1.4331369919048553,0.8205128205128205,117
44,31,14,3.25,0.8571428571428571,0.5714285714285714,7.538348703095493,0.017094017094017096,117
45,31,14,0.5,0.7142857142857143,0.5,16.425531772004295,0.0,117
46,31,14,0.5,0.7142857142857143,0.5714285714285714,16.425531772004295,0.5299145299145299,117
47,31,14,1.0,0.7142857142857143,0.7142857142857143,8.212765886002147,0.0,117
48,31,14,0.75,0.7142857142857143,0.6428571428571429,10.95035451466953,0.0,117
49,31,14,2.5,0.9285714285714286,0.7857142857142857,15.090424160618985,0.9401709401709402,117
50,31,14,3.75,0.7142857142857143,0.5,2.190070902933906,0.5982905982905983,117
51,31,14,0.5,0.7142857142857143,0.6428571428571429,16.425531772004295,0.0,117
52,31,14,0.5,0.5714285714285714,0.5,1.7726236758898173,0.0,117
53,31,14,4.0,0.5714285714285714,0.5714285714285714,0.22157795948622716,0.03418803418803419,117
54,31,14,2.0,0.9285714285714286,0.7142857142857143,18.863030200773732,0.8376068376068376,117
55,31,14,1.75,0.7142857142857143,0.5,4.693009077715513,0.0,117
56,31,14,3.75,0.8571428571428571,0.7142857142857143,6.53323554268276,0.9230769230769231,117
57,31,14,2.5,0.7142857142857143,0.42857142857142855,3.2851063544008587,0.0,117
58,31,14,1.0,0.7857142857142857,0.35714285714285715,15.024284564431206,0.0,117
59,31,14,1.5,0.7142857142857143,0.6428571428571429,5.475177257334765,0.0,117
60,31,14,4.0,0.7857142857142857,0.7857142857142857,3.7560711411078014,0.0,117
61,31,14,2.0,0.7142857142857143,0.42857142857142855,4.106382943001074,0.0,117
62,31,14,3.0,0.8571428571428571,0.7857142857142857,8.16654442835345,0.7948717948717948,117
63,31,14,2.0,0.7142857142857143,0.42857142857142855,4.106382943001074,0.0,117
64,31,14,2.0,0.7142857142857143,0.42857142857142855,4.106382943001074,0.0,117
65,31,14,2.0,0.7142857142857143,0.5,4.106382943001074,0.0,117
66,31,14,1.25,0.6428571428571429,0.6428571428571429,2.8662739838097107,0.02564102564102564,117
67,31,14,0.75,0.6428571428571429,0.6428571428571429,4.777123306349518,0.0,117
68,31,14,1.5,0.7857142857142857,0.2857142857142857,10.016189709620804,0.0,117
69,31,14,3.25,0.6428571428571429,0.5,1.1024130706960427,0.0,117
70,31,14,0.5,0.7857142857142857,0.2857142857142857,30.04856912886241,0.7692307692307693,117
71,31,14,1.75,0.8571428571428571,0.5714285714285714,13.999790448605916,0.0,117
72,31,14,2.5,0.6428571428571429,0.42857142857142855,1.4331369919048553,0.02564102564102564,117
73,31,14,1.0,0.5,0.5,0.0,0.0,117
74,31,14,0.5,0.42857142857142855,0.2857142857142857,0.0,0.05982905982905983,117
75,31,14,3.5,0.5714285714285714,0.42857142857142855,0.25323195369854534,0.0,117
76,31,14,3.25,0.5714285714285714,0.42857142857142855,0.2727113347522796,0.0,117
77,31,14,4.0,0.7142857142857143,0.7142857142857143,2.053191471500537,0.7350427350427351,117
78,31,14,1.5,0.6428571428571429,0.5,2.388561653174759,0.0,117
79,31,14,1.5,0.6428571428571429,0.42857142857142855,2.388561653174759,0.0,117
80,31,14,1.25,0.7142857142857143,0.5,6.5702127088017175,0.0,117
81,31,14,2.25,0.9285714285714286,0.6428571428571429,16.767137956243317,0.8376068376068376,117
82,31,14,1.75,0.6428571428571429,0.5,2.047338559864079,0.0,117
83,31,14,1.75,0.7142857142857143,0.7142857142857143,4.693009077715513,0.0,117
84,31,14,1.0,0.7857142857142857,0.42857142857142855,15.024284564431206,0.0,117
85,31,14,3.75,1.0,0.9285714285714286,15.999999498559248,0.7777777777777778,117
86,31,14,1.75,0.7857142857142857,0.35714285714285715,8.58530546538926,0.0,117
87,31,14,2.0,0.5714285714285714,0.5,0.4431559189724543,0.0,117
89,31,14,0.5,0.6428571428571429,0.5714285714285714,7.165684959524277,0.0,117
90,31,14,1.75,0.7857142857142857,0.42857142857142855,8.58530546538926,0.19658119658119658,117
91,31,14,2.25,0.5714285714285714,0.5714285714285714,0.3939163724199594,0.9914529914529915,117
93,31,14,1.75,0.7142857142857143,0.5,4.693009077715513,0.0,117
94,31,14,2.75,0.5714285714285714,0.5,0.32229521379814857,0.0,117
95,31,14,1.5,0.7142857142857143,0.5714285714285714,5.475177257334765,0.0,117
96,31,14,3.25,0.7142857142857143,0.5,2.527004888000661,0.0,117
97,31,14,0.5,0.7857142857142857,0.5714285714285714,30.04856912886241,0.0,117
98,31,14,0.75,0.5714285714285714,0.5,1.1817491172598782,0.2905982905982906,117
99,31,14,3.75,0.7142857142857143,0.5,2.190070902933906,0.0,117
101,31,14,2.5,0.6428571428571429,0.42857142857142855,1.4331369919048553,0.0,117
102,31,14,2.0,0.8571428571428571,0.42857142857142855,12.249816642530176,0.4017094017094017,117
103,31,14,2.5,0.7142857142857143,0.5714285714285714,3.2851063544008587,0.24786324786324787,117
104,30,13,0.75,0.6153846153846154,0.46153846153846156,3.101071622169931,0.0,108
105,31,14,2.75,0.7857142857142857,0.42857142857142855,5.4633762052477115,0.09401709401709402,117
106,31,14,1.25,0.5714285714285714,0.5714285714285714,0.7090494703559269,0.008547008547008548,117
107,31,14,3.5,0.7142857142857143,0.5714285714285714,2.3465045388577566,0.0,117
108,31,14,1.5,0.7857142857142857,0.5,10.016189709620804,0.7948717948717948,117
109,31,14,2.0,0.6428571428571429,0.5,1.7914212398810692,0.0,117
